etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts
0,0,0,0,114407,0,0,0,0,265516712,416,114372,0,0,0,0,0,0,0,0,0,0
0,0,0,0,113074,0,0,0,0,262567056,416,113107,0,0,0,0,0,0,0,0,0,0
0,0,0,0,113021,0,0,0,0,261620448,416,113182,0,0,0,0,0,0,0,0,0,0
0,0,0,0,110195,0,0,0,0,255888464,432,110020,0,0,0,0,0,0,0,0,0,0
0,0,0,0,114091,0,0,0,0,264680784,416,114082,0,0,0,0,0,0,0,0,0,0
0,0,0,0,109524,0,0,0,0,254102640,408,109520,0,0,0,0,0,0,0,0,0,0
0,0,0,0,113274,0,0,0,0,262874824,416,113424,0,0,0,0,0,0,0,0,0,0
0,0,0,0,111300,0,0,0,0,258261296,408,111126,0,0,0,0,0,0,0,0,0,0
0,0,0,0,226183,0,0,0,0,524710936,832,226179,0,0,0,0,0,0,0,0,0,0
0,0,0,0,113470,0,0,0,0,263539576,456,113467,0,0,0,0,0,0,0,0,0,0
0,0,0,0,116115,0,0,0,0,269476904,440,116123,0,0,0,0,0,0,0,0,0,0
0,0,0,0,108533,0,0,0,0,251286552,400,108500,0,0,0,0,0,0,0,0,0,0
0,0,0,0,114533,0,0,0,0,265156264,416,114451,0,0,0,0,0,0,0,0,0,0
0,0,0,0,114077,0,0,0,0,265437648,416,114169,0,0,0,0,0,0,0,0,0,0
0,0,0,0,218540,0,0,0,0,506899120,824,218622,0,0,0,0,0,0,0,0,0,0
0,0,0,0,116125,0,0,0,0,269408880,424,115991,0,0,0,0,0,0,0,0,0,0
0,0,0,0,113003,0,0,0,0,262150512,408,113059,0,0,0,0,0,0,0,0,0,0
0,0,0,0,108905,0,0,0,0,252092432,360,108859,0,0,0,0,0,0,0,0,0,0
0,0,0,0,113393,0,0,0,0,263532544,408,113406,0,0,0,0,0,0,0,0,0,0
0,0,0,0,112697,0,0,0,0,261128656,416,112620,0,0,0,0,0,0,0,0,0,0
0,0,0,0,108516,0,0,0,0,252224968,424,114146,0,0,0,0,0,0,0,0,0,0
0,0,0,0,110739,0,0,0,0,257186008,400,105453,0,0,0,0,0,0,0,0,0,0
0,0,0,0,113185,0,0,0,0,262293192,416,113026,0,0,0,0,0,0,0,0,0,0
